language,mean_share_pct,std_share_pct,min_share_pct,max_share_pct,share_first_year,share_last_year,share_change_pp,trend_slope,first_year,last_year,volatility_z,change_z,is_outlier
JavaScript,21.4587,6.6617,12.7292,37.8572,16.1281,13.5505,-2.5776,-0.029952,2011,2026,1.984,-0.664,True
Python,15.6577,2.8245,6.7701,19.1519,15.9189,18.7337,2.8148,-0.014482,2011,2026,0.341,0.725,False
Java,11.9104,3.1062,4.1929,17.3477,10.6875,11.584,0.8965,-0.077874,2011,2026,0.461,0.231,False
C#,8.4621,9.1156,1.4937,34.6737,2.3576,3.3201,0.9625,0.180947,2011,2026,3.035,0.248,True
PHP,7.8548,2.9157,1.8462,12.8318,10.0351,6.3588,-3.6763,-0.125447,2011,2026,0.38,-0.947,False
C++,7.3822,1.7719,2.773,10.6351,9.0277,9.5486,0.5209,9.9e-05,2011,2026,-0.11,0.134,False
Ruby,6.965,4.7162,1.3705,19.6379,18.3557,6.9538,-11.4019,-0.180537,2011,2026,1.151,-2.938,True
C,4.8569,1.6648,1.6292,10.2711,9.3673,5.13,-4.2372,-0.054182,2011,2026,-0.156,-1.092,False
TypeScript,4.4363,3.313,0.1569,9.5515,0.2322,9.4316,9.1994,0.166401,2011,2026,0.55,2.37,True
Go,4.1027,2.5425,0.2352,9.1188,0.6965,7.4845,6.788,0.117499,2011,2026,0.22,1.749,True
Scala,1.2699,0.5246,0.4255,4.1371,1.2755,1.2334,-0.0421,0.002632,2011,2026,-0.644,-0.011,False
Perl,0.875,0.313,0.2558,1.6004,1.5657,0.8672,-0.6985,-0.006971,2011,2026,-0.735,-0.18,False
Objective-C,0.8705,0.5952,0.1264,2.0981,1.8421,0.4599,-1.3822,-0.02938,2011,2026,-0.614,-0.356,False
Kotlin,0.7791,0.5383,0.0457,1.789,0.0701,1.334,1.2639,0.026093,2011,2026,-0.638,0.326,False
Rust,0.7725,0.4557,0.012,1.5361,0.3275,1.3597,1.0322,0.019962,2011,2026,-0.674,0.266,False
Swift,0.7509,0.504,0.0111,1.6942,0.0256,1.0118,0.9862,0.011291,2011,2026,-0.653,0.254,False
Haskell,0.4911,0.3816,0.0822,1.6633,1.587,0.462,-1.125,-0.015241,2011,2026,-0.705,-0.29,False
Lua,0.4572,0.1815,0.1467,1.0308,0.4252,0.3741,-0.0511,-0.001849,2011,2026,-0.791,-0.013,False
Dart,0.2958,0.2346,0.0016,0.8812,0.0045,0.5168,0.5123,0.010821,2011,2026,-0.768,0.132,False
R,0.2597,0.177,0.027,0.6797,0.0698,0.1951,0.1253,-0.000534,2011,2026,-0.793,0.032,False
Julia,0.0917,0.0665,0.0002,0.2912,0.0005,0.0905,0.0901,0.000705,2011,2026,-0.84,0.023,False
